candidate,percentage,n_states,k_ref,k_candidate,overlap_count,overlap_pct_of_ref,overlap_pct_of_candidate,jaccard_pct
ppo_reward,5.0,1000000,50000,50000,1983,3.966,3.966,2.0231184386381953
ppo_reward,10.0,1000000,100000,100000,6042,6.042,6.042,3.1151073943843515
ppo_reward,20.0,1000000,200000,200000,16694,8.347,8.347,4.355267071217252
ppo_reward,25.0,1000000,250000,250000,25670,10.268,10.268,5.4118440748002445
ppo_reward,30.0,1000000,300000,300000,36346,12.115333333333334,12.115333333333334,6.448282102140675
ppo_reward,35.0,1000000,350000,350000,50117,14.319142857142857,14.319142857142857,7.7116957975512515
ppo_reward,40.0,1000000,400000,400000,67656,16.914,16.914,9.238281463356019
ppo_cost,5.0,1000000,50000,50000,1384,2.768,2.768,1.4034233795732944
ppo_cost,10.0,1000000,100000,100000,4457,4.457,4.457,2.2792940683123404
ppo_cost,20.0,1000000,200000,200000,13497,6.7485,6.7485,3.492081562109479
ppo_cost,25.0,1000000,250000,250000,19730,7.892,7.892,4.108105857122036
ppo_cost,30.0,1000000,300000,300000,26994,8.998,8.998,4.710945435126334
ppo_cost,35.0,1000000,350000,350000,35529,10.151142857142856,10.151142857142856,5.34696021346304
ppo_cost,40.0,1000000,400000,400000,46193,11.54825,11.54825,6.127961135940632
ppo_reward_minus_0.1_cost,5.0,1000000,50000,50000,11523,23.046,23.046,13.023723679600348
ppo_reward_minus_0.1_cost,10.0,1000000,100000,100000,28567,28.567,28.567,16.663652855634563
ppo_reward_minus_0.1_cost,20.0,1000000,200000,200000,61998,30.999,30.999,18.342495014822397
ppo_reward_minus_0.1_cost,25.0,1000000,250000,250000,79579,31.8316,31.8316,18.928407477266834
ppo_reward_minus_0.1_cost,30.0,1000000,300000,300000,97046,32.34866666666667,32.34866666666667,19.29520393515113
ppo_reward_minus_0.1_cost,35.0,1000000,350000,350000,116104,33.17257142857143,33.17257142857143,19.88436296874786
ppo_reward_minus_0.1_cost,40.0,1000000,400000,400000,136725,34.18125,34.18125,20.613621800912142
ppo_reward_minus_0.25_cost,5.0,1000000,50000,50000,12685,25.37,25.37,14.527858901677833
ppo_reward_minus_0.25_cost,10.0,1000000,100000,100000,41765,41.765,41.765,26.394286978228585
ppo_reward_minus_0.25_cost,20.0,1000000,200000,200000,104480,52.24,52.24,35.35462912831619
ppo_reward_minus_0.25_cost,25.0,1000000,250000,250000,134942,53.9768,53.9768,36.964537142043184
ppo_reward_minus_0.25_cost,30.0,1000000,300000,300000,164712,54.904,54.904,37.83977504548712
ppo_reward_minus_0.25_cost,35.0,1000000,350000,350000,193513,55.28942857142857,55.28942857142857,38.206903632274866
ppo_reward_minus_0.25_cost,40.0,1000000,400000,400000,222199,55.54975,55.54975,38.45597359644584
ppo_reward_minus_0.5_cost,5.0,1000000,50000,50000,11681,23.362,23.362,13.22591967753258
ppo_reward_minus_0.5_cost,10.0,1000000,100000,100000,42178,42.178,42.178,26.725044670578246
ppo_reward_minus_0.5_cost,20.0,1000000,200000,200000,117744,58.872,58.872,41.71532226064282
ppo_reward_minus_0.5_cost,25.0,1000000,250000,250000,155950,62.38,62.38,45.32771399505886
ppo_reward_minus_0.5_cost,30.0,1000000,300000,300000,194930,64.97666666666667,64.97666666666667,48.122546720319946
ppo_reward_minus_0.5_cost,35.0,1000000,350000,350000,235936,67.41028571428572,67.41028571428572,50.84126327403117
ppo_reward_minus_0.5_cost,40.0,1000000,400000,400000,276063,69.01575,69.01575,52.69011350601313
ppo_reward_minus_1_cost,5.0,1000000,50000,50000,10985,21.97,21.97,12.340616749985957
ppo_reward_minus_1_cost,10.0,1000000,100000,100000,41359,41.359,41.359,26.070813976210438
ppo_reward_minus_1_cost,20.0,1000000,200000,200000,121636,60.818,60.818,43.696742394849906
ppo_reward_minus_1_cost,25.0,1000000,250000,250000,161411,64.5644,64.5644,47.671660922239056
ppo_reward_minus_1_cost,30.0,1000000,300000,300000,201455,67.15166666666667,67.15166666666667,50.547616956679924
ppo_reward_minus_1_cost,35.0,1000000,350000,350000,244904,69.97257142857143,69.97257142857143,53.813700845535884
ppo_reward_minus_1_cost,40.0,1000000,400000,400000,295316,73.829,73.829,58.515031187832385
ppo_reward_minus_2_cost,5.0,1000000,50000,50000,10581,21.162,21.162,11.833055614578557
ppo_reward_minus_2_cost,10.0,1000000,100000,100000,40697,40.697,40.697,25.546913742992913
ppo_reward_minus_2_cost,20.0,1000000,200000,200000,122890,61.445,61.445,44.34701021255097
ppo_reward_minus_2_cost,25.0,1000000,250000,250000,163148,65.2592,65.2592,48.43313977651906
ppo_reward_minus_2_cost,30.0,1000000,300000,300000,203299,67.76633333333334,67.76633333333334,51.24741303903948
ppo_reward_minus_2_cost,35.0,1000000,350000,350000,247512,70.71771428571428,70.71771428571428,54.70023514435742
ppo_reward_minus_2_cost,40.0,1000000,400000,400000,298074,74.5185,74.5185,59.38604495483398
ppo_zreward_minus_0.02_zcost,5.0,1000000,50000,50000,2199,4.398,4.398,2.248443267451253
ppo_zreward_minus_0.02_zcost,10.0,1000000,100000,100000,6515,6.515,6.515,3.3671860867767527
ppo_zreward_minus_0.02_zcost,20.0,1000000,200000,200000,17727,8.8635,8.8635,4.637261852131854
ppo_zreward_minus_0.02_zcost,25.0,1000000,250000,250000,26948,10.7792,10.7792,5.696625318146842
ppo_zreward_minus_0.02_zcost,30.0,1000000,300000,300000,37797,12.599,12.599,6.723016419336076
ppo_zreward_minus_0.02_zcost,35.0,1000000,350000,350000,51820,14.805714285714286,14.805714285714286,7.994692832237958
ppo_zreward_minus_0.02_zcost,40.0,1000000,400000,400000,69396,17.349,17.349,9.498442384657078
ppo_zreward_minus_0.05_zcost,5.0,1000000,50000,50000,2570,5.14,5.14,2.6377912347326284
ppo_zreward_minus_0.05_zcost,10.0,1000000,100000,100000,7402,7.402,7.402,3.843238247541511
ppo_zreward_minus_0.05_zcost,20.0,1000000,200000,200000,19406,9.703,9.703,5.098871763611617
ppo_zreward_minus_0.05_zcost,25.0,1000000,250000,250000,29011,11.6044,11.6044,6.159591837601303
ppo_zreward_minus_0.05_zcost,30.0,1000000,300000,300000,40232,13.410666666666666,13.410666666666666,7.187263294793557
ppo_zreward_minus_0.05_zcost,35.0,1000000,350000,350000,54432,15.552,15.552,8.431644691186676
ppo_zreward_minus_0.05_zcost,40.0,1000000,400000,400000,72125,18.03125,18.03125,9.908981624592135
ppo_zreward_minus_0.1_zcost,5.0,1000000,50000,50000,3225,6.45,6.45,3.332472229398088
ppo_zreward_minus_0.1_zcost,10.0,1000000,100000,100000,8985,8.985,8.985,4.703819071800644
ppo_zreward_minus_0.1_zcost,20.0,1000000,200000,200000,22565,11.2825,11.2825,5.978512856518341
ppo_zreward_minus_0.1_zcost,25.0,1000000,250000,250000,32872,13.1488,13.1488,7.037043379972941
ppo_zreward_minus_0.1_zcost,30.0,1000000,300000,300000,44494,14.831333333333333,14.831333333333333,8.009634459393778
ppo_zreward_minus_0.1_zcost,35.0,1000000,350000,350000,59000,16.857142857142858,16.857142857142858,9.204368174726989
ppo_zreward_minus_0.1_zcost,40.0,1000000,400000,400000,76815,19.20375,19.20375,10.621763449186584
ppo_zreward_minus_0.15_zcost,5.0,1000000,50000,50000,4084,8.168,8.168,4.257892322448809
ppo_zreward_minus_0.15_zcost,10.0,1000000,100000,100000,10703,10.703,10.703,5.654077983274959
ppo_zreward_minus_0.15_zcost,20.0,1000000,200000,200000,26015,13.0075,13.0075,6.956161343369386
ppo_zreward_minus_0.15_zcost,25.0,1000000,250000,250000,36899,14.7596,14.7596,7.967808318271824
ppo_zreward_minus_0.15_zcost,30.0,1000000,300000,300000,49076,16.358666666666668,16.358666666666668,8.907943745416791
ppo_zreward_minus_0.15_zcost,35.0,1000000,350000,350000,63830,18.237142857142857,18.237142857142857,10.033481616549036
ppo_zreward_minus_0.15_zcost,40.0,1000000,400000,400000,81967,20.49175,20.49175,11.415492045630215
ppo_zreward_minus_0.2_zcost,5.0,1000000,50000,50000,4907,9.814,9.814,5.1602115823457035
