candidate,percentage,n_states,k_ref,k_candidate,overlap_count,overlap_pct_of_ref,overlap_pct_of_candidate,jaccard_pct
ppo_reward,5.0,1000000,50000,50000,554,1.108,1.108,0.557086257868592
ppo_reward,10.0,1000000,100000,100000,2446,2.446,2.446,1.23814248256173
ppo_reward,20.0,1000000,200000,200000,34989,17.4945,17.4945,9.58573851199005
ppo_reward,25.0,1000000,250000,250000,68733,27.4932,27.4932,15.93745869728034
ppo_reward,30.0,1000000,300000,300000,108688,36.22933333333334,36.22933333333334,22.121991728270427
ppo_reward,35.0,1000000,350000,350000,153002,43.71485714285714,43.71485714285714,27.971217445036363
ppo_reward,40.0,1000000,400000,400000,200333,50.08325,50.08325,33.40737442613984
ppo_cost,5.0,1000000,50000,50000,3130,6.26,6.26,3.2311345101682667
ppo_cost,10.0,1000000,100000,100000,7471,7.471,7.471,3.880454373107428
ppo_cost,20.0,1000000,200000,200000,23159,11.5795,11.5795,6.145562717432552
ppo_cost,25.0,1000000,250000,250000,38443,15.3772,15.3772,8.328982119218212
ppo_cost,30.0,1000000,300000,300000,60773,20.257666666666665,20.257666666666665,11.27039261758035
ppo_cost,35.0,1000000,350000,350000,90835,25.952857142857145,25.952857142857145,14.91139510641616
ppo_cost,40.0,1000000,400000,400000,126911,31.72775,31.72775,18.855010258673072
ppo_reward_minus_0.1_cost,5.0,1000000,50000,50000,477,0.954,0.954,0.4792861951508696
ppo_reward_minus_0.1_cost,10.0,1000000,100000,100000,4618,4.618,4.618,2.363574945491396
ppo_reward_minus_0.1_cost,20.0,1000000,200000,200000,37300,18.65,18.65,10.283981251723187
ppo_reward_minus_0.1_cost,25.0,1000000,250000,250000,69521,27.8084,27.8084,16.149684421307427
ppo_reward_minus_0.1_cost,30.0,1000000,300000,300000,107976,35.992,35.992,21.94527096239208
ppo_reward_minus_0.1_cost,35.0,1000000,350000,350000,150362,42.96057142857143,42.96057142857143,27.356551039047517
ppo_reward_minus_0.1_cost,40.0,1000000,400000,400000,196465,49.11625,49.11625,32.552378900975086
ppo_reward_minus_0.25_cost,5.0,1000000,50000,50000,833,1.666,1.666,0.8399971764800791
ppo_reward_minus_0.25_cost,10.0,1000000,100000,100000,6897,6.897,6.897,3.571669005660192
ppo_reward_minus_0.25_cost,20.0,1000000,200000,200000,41232,20.616,20.616,11.492663782723097
ppo_reward_minus_0.25_cost,25.0,1000000,250000,250000,71930,28.772,28.772,16.803326558740395
ppo_reward_minus_0.25_cost,30.0,1000000,300000,300000,108835,36.278333333333336,36.278333333333336,22.15854142701536
