candidate,percentage,n_states,bottom_overlap_count,bottom_overlap_frac,top_overlap_count,top_overlap_frac,rank_pearson
ppo_reward,5.0,1000000,554,1.108,8161,16.322,0.24935248209381955
ppo_reward,10.0,1000000,2446,2.446,25446,25.446,0.24935248209381955
ppo_reward,20.0,1000000,34989,17.4945,75633,37.8165,0.24935248209381955
ppo_reward,25.0,1000000,68733,27.4932,108274,43.3096,0.24935248209381955
ppo_reward,30.0,1000000,108688,36.22933333333334,144153,48.051,0.24935248209381955
ppo_reward,35.0,1000000,153002,43.71485714285714,181149,51.75685714285714,0.24935248209381955
ppo_reward,40.0,1000000,200333,50.08325,219714,54.9285,0.24935248209381955
ppo_cost,5.0,1000000,3130,6.26,1779,3.558,-0.161256248230104
ppo_cost,10.0,1000000,7471,7.471,9557,9.557,-0.161256248230104
ppo_cost,20.0,1000000,23159,11.5795,38679,19.3395,-0.161256248230104
ppo_cost,25.0,1000000,38442,15.3768,57099,22.8396,-0.161256248230104
ppo_cost,30.0,1000000,60773,20.257666666666665,81049,27.016333333333332,-0.161256248230104
ppo_cost,35.0,1000000,90835,25.952857142857145,108090,30.882857142857144,-0.161256248230104
ppo_cost,40.0,1000000,126911,31.72775,136496,34.124,-0.161256248230104
ppo_reward_minus_0.1_cost,5.0,1000000,477,0.954,7988,15.976,0.22972831433978905
ppo_reward_minus_0.1_cost,10.0,1000000,4618,4.618,24034,24.034,0.22972831433978905
ppo_reward_minus_0.1_cost,20.0,1000000,37300,18.65,72339,36.1695,0.22972831433978905
ppo_reward_minus_0.1_cost,25.0,1000000,69521,27.8084,103988,41.5952,0.22972831433978905
ppo_reward_minus_0.1_cost,30.0,1000000,107976,35.992,138521,46.17366666666667,0.22972831433978905
ppo_reward_minus_0.1_cost,35.0,1000000,150362,42.96057142857143,175439,50.12542857142857,0.22972831433978905
ppo_reward_minus_0.1_cost,40.0,1000000,196465,49.11625,214726,53.6815,0.22972831433978905
ppo_reward_minus_0.25_cost,5.0,1000000,833,1.666,7910,15.82,0.21362600505609042
ppo_reward_minus_0.25_cost,10.0,1000000,6897,6.897,23535,23.535,0.21362600505609042
ppo_reward_minus_0.25_cost,20.0,1000000,41232,20.616,70732,35.366,0.21362600505609042
ppo_reward_minus_0.25_cost,25.0,1000000,71930,28.772,100996,40.3984,0.21362600505609042
ppo_reward_minus_0.25_cost,30.0,1000000,108835,36.278333333333336,134678,44.89266666666666,0.21362600505609042
ppo_reward_minus_0.25_cost,35.0,1000000,149497,42.71342857142857,171355,48.95857142857143,0.21362600505609042
ppo_reward_minus_0.25_cost,40.0,1000000,193837,48.45925,210080,52.52,0.21362600505609042
ppo_reward_minus_0.5_cost,5.0,1000000,950,1.9,7788,15.576,0.2023228892459724
ppo_reward_minus_0.5_cost,10.0,1000000,7695,7.695,23067,23.067,0.2023228892459724
ppo_reward_minus_0.5_cost,20.0,1000000,44572,22.286,69769,34.8845,0.2023228892459724
ppo_reward_minus_0.5_cost,25.0,1000000,74189,29.6756,99088,39.6352,0.2023228892459724
ppo_reward_minus_0.5_cost,30.0,1000000,108299,36.099666666666664,132242,44.080666666666666,0.2023228892459724
ppo_reward_minus_0.5_cost,35.0,1000000,148258,42.35942857142857,168071,48.02028571428571,0.2023228892459724
ppo_reward_minus_0.5_cost,40.0,1000000,191997,47.99925,206376,51.594,0.2023228892459724
ppo_reward_minus_1_cost,5.0,1000000,1014,2.028,7659,15.318,0.19261502383510473
ppo_reward_minus_1_cost,10.0,1000000,8040,8.04,22667,22.667,0.19261502383510473
ppo_reward_minus_1_cost,20.0,1000000,44732,22.366,69153,34.5765,0.19261502383510473
ppo_reward_minus_1_cost,25.0,1000000,75472,30.1888,97983,39.1932,0.19261502383510473
ppo_reward_minus_1_cost,30.0,1000000,108742,36.24733333333333,130580,43.526666666666664,0.19261502383510473
ppo_reward_minus_1_cost,35.0,1000000,144970,41.42,165612,47.31771428571429,0.19261502383510473
ppo_reward_minus_1_cost,40.0,1000000,188147,47.03675,203709,50.92725,0.19261502383510473
ppo_reward_minus_2_cost,5.0,1000000,1040,2.08,7553,15.106,0.18664594908666637
ppo_reward_minus_2_cost,10.0,1000000,8190,8.19,22496,22.496,0.18664594908666637
ppo_reward_minus_2_cost,20.0,1000000,44332,22.166,68860,34.43,0.18664594908666637
ppo_reward_minus_2_cost,25.0,1000000,74735,29.894,97725,39.09,0.18664594908666637
ppo_reward_minus_2_cost,30.0,1000000,107813,35.937666666666665,129391,43.13033333333333,0.18664594908666637
ppo_reward_minus_2_cost,35.0,1000000,145180,41.48,164163,46.90371428571429,0.18664594908666637
ppo_reward_minus_2_cost,40.0,1000000,186441,46.61025,201839,50.45975,0.18664594908666637
ppo_zreward_minus_0.02_zcost,5.0,1000000,544,1.088,8152,16.304,0.2493727701806619
ppo_zreward_minus_0.02_zcost,10.0,1000000,2442,2.442,25361,25.361,0.2493727701806619
ppo_zreward_minus_0.02_zcost,20.0,1000000,35004,17.502,75549,37.7745,0.2493727701806619
ppo_zreward_minus_0.02_zcost,25.0,1000000,68754,27.5016,108164,43.2656,0.2493727701806619
ppo_zreward_minus_0.02_zcost,30.0,1000000,108771,36.257,144002,48.00066666666667,0.2493727701806619
ppo_zreward_minus_0.02_zcost,35.0,1000000,153033,43.72371428571429,181003,51.71514285714286,0.2493727701806619
ppo_zreward_minus_0.02_zcost,40.0,1000000,200404,50.101,219800,54.95,0.2493727701806619
ppo_zreward_minus_0.05_zcost,5.0,1000000,527,1.054,8102,16.204,0.24921242916202704
ppo_zreward_minus_0.05_zcost,10.0,1000000,2435,2.435,25288,25.288,0.24921242916202704
ppo_zreward_minus_0.05_zcost,20.0,1000000,35077,17.5385,75373,37.6865,0.24921242916202704
ppo_zreward_minus_0.05_zcost,25.0,1000000,68927,27.5708,108039,43.2156,0.24921242916202704
ppo_zreward_minus_0.05_zcost,30.0,1000000,108787,36.26233333333333,143728,47.909333333333336,0.24921242916202704
ppo_zreward_minus_0.05_zcost,35.0,1000000,152911,43.688857142857145,180836,51.66742857142857,0.24921242916202704
ppo_zreward_minus_0.05_zcost,40.0,1000000,200453,50.11325,219637,54.90925,0.24921242916202704
ppo_zreward_minus_0.1_zcost,5.0,1000000,495,0.99,8068,16.136,0.24848184342095503
ppo_zreward_minus_0.1_zcost,10.0,1000000,2514,2.514,25140,25.14,0.24848184342095503
ppo_zreward_minus_0.1_zcost,20.0,1000000,35220,17.61,75030,37.515,0.24848184342095503
ppo_zreward_minus_0.1_zcost,25.0,1000000,69154,27.6616,107638,43.0552,0.24848184342095503
ppo_zreward_minus_0.1_zcost,30.0,1000000,108686,36.22866666666667,143326,47.775333333333336,0.24848184342095503
ppo_zreward_minus_0.1_zcost,35.0,1000000,152791,43.65457142857143,180302,51.514857142857146,0.24848184342095503
ppo_zreward_minus_0.1_zcost,40.0,1000000,200391,50.09775,219373,54.84325,0.24848184342095503
ppo_zreward_minus_0.15_zcost,5.0,1000000,448,0.896,8049,16.098,0.24723627279715368
ppo_zreward_minus_0.15_zcost,10.0,1000000,2623,2.623,24921,24.921,0.24723627279715368
